symbol,strike,expiry_date,option_type,last_price,bid,ask,volume,open_interest,implied_volatility
GOOGL,110.0,2026-01-09,put,0.01,0.0,0.01,,31,1.9375003125
GOOGL,120.0,2026-01-09,put,0.01,0.0,0.01,,3,1.8125009374999999
GOOGL,125.0,2026-01-09,put,0.01,0.0,0.01,,3,1.75000125
GOOGL,130.0,2026-01-09,put,0.01,0.0,0.01,217.0,229,1.65625171875
GOOGL,135.0,2026-01-09,put,0.01,0.0,0.01,324.0,353,1.5937520312499998
GOOGL,140.0,2026-01-09,put,0.01,0.0,0.01,200.0,203,1.5312523437499999
GOOGL,145.0,2026-01-09,put,0.01,0.0,0.01,48.0,168,1.46875265625
GOOGL,150.0,2026-01-09,call,167.76,161.55,165.1,,1,2.107426606445312
GOOGL,150.0,2026-01-09,put,0.02,0.0,0.01,,43,1.40625296875
GOOGL,155.0,2026-01-09,call,158.33,156.55,160.1,1.0,0,2.021489321289063
GOOGL,155.0,2026-01-09,put,0.02,0.0,0.01,,55,1.3437532812499997
GOOGL,160.0,2026-01-09,call,158.76,151.55,155.1,7.0,7,1.9375003125
GOOGL,165.0,2026-01-09,put,0.02,0.0,0.01,8.0,10,1.21875390625
GOOGL,170.0,2026-01-09,call,144.2,141.6,145.1,1.0,35,1.7968760156249999
GOOGL,170.0,2026-01-09,put,0.08,0.0,0.01,1.0,39,1.15625421875
GOOGL,175.0,2026-01-09,call,138.6,136.6,140.1,1.0,9,1.71875140625
GOOGL,175.0,2026-01-09,put,0.02,0.0,0.01,42.0,44,1.125004375
GOOGL,180.0,2026-01-09,call,134.05,131.6,135.15,1.0,1,1.6601579492187502
GOOGL,180.0,2026-01-09,put,0.08,0.0,0.01,1.0,36,1.0625046875000002
GOOGL,185.0,2026-01-09,call,128.95,126.6,130.25,1.0,27,1.6162128564453124
GOOGL,185.0,2026-01-09,put,0.02,0.0,0.01,,18,1.015629921875
GOOGL,190.0,2026-01-09,call,124.09,121.6,125.15,5.0,5,1.5146508642578125
GOOGL,195.0,2026-01-09,call,119.09,116.6,120.15,1.0,4,1.4443387158203125
GOOGL,195.0,2026-01-09,put,0.02,0.0,0.01,1000.0,1000,0.9062509375
GOOGL,200.0,2026-01-09,call,114.11,111.65,115.15,1.0,16,1.3886749316406248
GOOGL,200.0,2026-01-09,put,0.01,0.0,0.01,5.0,1756,0.87500125
GOOGL,205.0,2026-01-09,call,108.98,106.6,110.15,1.0,64,1.3085972070312497
GOOGL,205.0,2026-01-09,put,0.03,0.0,0.01,,31,0.8281267187499999
GOOGL,210.0,2026-01-09,call,102.6,101.65,105.15,4.0,5,1.2548865380859375
GOOGL,210.0,2026-01-09,put,0.03,0.0,0.01,525.0,504,0.7812521875
GOOGL,215.0,2026-01-09,call,98.9,96.65,100.15,1.0,4,1.1904337353515624
GOOGL,215.0,2026-01-09,put,0.01,0.0,0.01,11.0,12,0.7500025
GOOGL,220.0,2026-01-09,call,93.98,91.65,95.15,7.0,15,1.1259809326171877
GOOGL,220.0,2026-01-09,put,0.02,0.0,0.01,1.0,12,0.6875031250000001
GOOGL,225.0,2026-01-09,call,88.9,87.0,90.35,3.0,11,1.162113564453125
GOOGL,225.0,2026-01-09,put,0.03,0.0,0.01,2.0,30,0.6562534375000001
GOOGL,230.0,2026-01-09,call,84.73,81.65,85.2,12.0,46,1.01172369140625
GOOGL,230.0,2026-01-09,put,0.01,0.0,0.01,100.0,218,0.6093789062500001
GOOGL,235.0,2026-01-09,call,78.77,76.65,80.2,,1,0.9511723632812499
GOOGL,235.0,2026-01-09,put,0.01,0.0,0.01,20.0,34,0.57812921875
GOOGL,240.0,2026-01-09,call,73.42,72.0,75.2,1.0,2,0.946289599609375
GOOGL,240.0,2026-01-09,put,0.01,0.0,0.01,3.0,226,0.5312546875
GOOGL,245.0,2026-01-09,call,60.65,66.65,70.2,1.0,4,0.8315446533203124
GOOGL,245.0,2026-01-09,put,0.01,0.01,0.02,690.0,35,0.5468795312500001
GOOGL,250.0,2026-01-09,call,64.63,62.05,65.2,6.0,14,0.8291032714843749
GOOGL,250.0,2026-01-09,put,0.02,0.0,0.03,10.0,103,0.507817421875
GOOGL,255.0,2026-01-09,call,59.85,57.05,60.4,1.0,2,0.7912618530273439
GOOGL,255.0,2026-01-09,put,0.02,0.01,0.04,20.0,358,0.5136767382812499
GOOGL,260.0,2026-01-09,call,52.8,51.7,55.25,5.0,74,0.6713900048828126
GOOGL,260.0,2026-01-09,put,0.04,0.02,0.04,1.0,72,0.4687553125
GOOGL,265.0,2026-01-09,call,49.18,47.4,50.25,1.0,40,0.6870148486328126
GOOGL,265.0,2026-01-09,put,0.05,0.04,0.05,226.0,222,0.437505625
GOOGL,270.0,2026-01-09,call,43.32,41.75,45.3,12.0,62,0.5678754150390625
GOOGL,270.0,2026-01-09,put,0.05,0.04,0.06,43.0,397,0.4023497265625
GOOGL,275.0,2026-01-09,call,39.77,36.75,40.4,2.0,68,0.5195360546875
GOOGL,275.0,2026-01-09,put,0.08,0.06,0.08,86.0,729,0.372076591796875
GOOGL,280.0,2026-01-09,call,34.75,31.8,34.25,5.0,94,0.5576216113281252
GOOGL,280.0,2026-01-09,put,0.1,0.1,0.12,176.0,545,0.34668622070312494
GOOGL,282.5,2026-01-09,call,30.92,29.35,32.9,4.0,5,0.6405065246582031
GOOGL,282.5,2026-01-09,put,0.15,0.12,0.15,1.0,89,0.33399103515625
GOOGL,285.0,2026-01-09,call,28.52,26.9,29.25,9.0,95,0.4908498181152344
GOOGL,285.0,2026-01-09,put,0.18,0.15,0.18,203.0,733,0.3193427441406249
GOOGL,287.5,2026-01-09,put,0.19,0.2,0.42,11.0,188,0.3474186352539062
GOOGL,290.0,2026-01-09,call,23.7,22.95,25.6,34.0,58,0.5428512512207033
GOOGL,290.0,2026-01-09,put,0.27,0.26,0.28,351.0,1038,0.2929758203124999
GOOGL,292.5,2026-01-09,call,21.32,20.7,23.2,16.0,21,0.5112353564453125
GOOGL,292.5,2026-01-09,put,0.4,0.35,0.42,277.0,455,0.29077857666015616
GOOGL,295.0,2026-01-09,call,19.13,18.6,19.35,15.0,100,0.3640200317382813
GOOGL,295.0,2026-01-09,put,0.5,0.49,0.52,627.0,1788,0.2761302856445312
GOOGL,297.5,2026-01-09,call,16.68,16.2,17.1,4.0,43,0.3491276025390625
GOOGL,297.5,2026-01-09,put,0.67,0.67,0.75,608.0,1535,0.2722240747070312
GOOGL,300.0,2026-01-09,call,14.58,14.1,14.65,81.0,376,0.3154365332031249
GOOGL,300.0,2026-01-09,put,0.95,0.93,1.0,566.0,1717,0.2629468237304688
GOOGL,302.5,2026-01-09,call,12.27,11.9,12.6,25.0,109,0.30750204223632804
GOOGL,302.5,2026-01-09,put,1.29,1.28,1.34,715.0,650,0.25427991821289064
GOOGL,305.0,2026-01-09,call,10.37,10.0,10.65,326.0,473,0.29920134399414056
GOOGL,305.0,2026-01-09,put,1.72,1.75,1.86,3650.0,1679,0.2503737072753906
GOOGL,307.5,2026-01-09,call,8.41,8.15,8.35,140.0,193,0.2644116528320312
GOOGL,307.5,2026-01-09,put,2.32,2.37,2.63,359.0,397,0.25196060546875
GOOGL,310.0,2026-01-09,call,6.65,6.5,6.65,548.0,1273,0.25659923095703124
GOOGL,310.0,2026-01-09,put,3.21,3.15,3.25,721.0,2409,0.23548127807617186
GOOGL,312.5,2026-01-09,call,5.05,4.75,5.4,951.0,867,0.26270268554687504
GOOGL,312.5,2026-01-09,put,4.26,4.15,4.35,662.0,1608,0.23462679443359374
GOOGL,315.0,2026-01-09,call,3.79,3.6,3.9,2643.0,3884,0.24573508178710937
GOOGL,315.0,2026-01-09,put,5.4,5.4,5.55,465.0,10935,0.22779092529296874
GOOGL,317.5,2026-01-09,call,2.75,2.71,2.98,629.0,797,0.24842060180664063
GOOGL,317.5,2026-01-09,put,6.75,6.85,7.25,20.0,171,0.23596955444335935
GOOGL,320.0,2026-01-09,call,1.95,1.9,2.02,5518.0,3361,0.23792265991210934
GOOGL,320.0,2026-01-09,put,8.38,8.5,9.25,142.0,465,0.2515943981933594
GOOGL,322.5,2026-01-09,call,1.34,1.29,1.37,500.0,1010,0.23401644897460935
GOOGL,322.5,2026-01-09,put,9.48,10.4,11.4,56.0,64,0.2695385546875
GOOGL,325.0,2026-01-09,call,0.96,0.86,0.91,2074.0,3201,0.23206334350585936
GOOGL,325.0,2026-01-09,put,12.88,12.1,12.85,43.0,187,0.2269364416503906
GOOGL,327.5,2026-01-09,call,0.65,0.56,0.6,559.0,825,0.23218541259765624
GOOGL,327.5,2026-01-09,put,15.06,14.15,15.05,15.0,60,0.2268143725585937
GOOGL,330.0,2026-01-09,call,0.38,0.36,0.39,3348.0,4795,0.2329178271484375
GOOGL,330.0,2026-01-09,put,16.97,16.55,17.5,22.0,97,0.24781025634765624
GOOGL,335.0,2026-01-09,call,0.18,0.15,0.17,290.0,1251,0.23926541992187497
GOOGL,335.0,2026-01-09,put,22.17,20.0,23.6,18.0,0,0.4133359448242187
GOOGL,340.0,2026-01-09,call,0.08,0.07,0.08,426.0,2385,0.24951922363281248
GOOGL,340.0,2026-01-09,put,26.48,24.95,28.3,4.0,0,0.44312080322265623
GOOGL,345.0,2026-01-09,call,0.05,0.03,0.05,84.0,595,0.2695385546875
GOOGL,345.0,2026-01-09,put,31.48,30.1,33.35,2.0,0,0.5019581054687501
GOOGL,350.0,2026-01-09,call,0.02,0.01,0.03,67.0,973,0.28516339843749994
GOOGL,350.0,2026-01-09,put,35.3,35.1,38.6,3.0,2,0.5800823242187501
GOOGL,355.0,2026-01-09,call,0.03,0.0,0.03,5.0,564,0.31641308593749995
GOOGL,355.0,2026-01-09,put,40.32,40.1,43.6,3.0,0,0.6313513427734375
GOOGL,360.0,2026-01-09,call,0.02,0.0,0.02,12.0,980,0.3320379296875
GOOGL,360.0,2026-01-09,put,48.1,45.1,48.6,,0,0.6806672558593752
GOOGL,365.0,2026-01-09,call,0.01,0.0,0.02,84.0,88,0.3632876171875
GOOGL,365.0,2026-01-09,put,52.55,50.1,53.6,,0,0.7283962707519531
GOOGL,370.0,2026-01-09,call,0.01,0.0,0.01,5.0,116,0.367193828125
GOOGL,375.0,2026-01-09,call,0.04,0.0,0.02,1.0,133,0.41797457031249996
GOOGL,380.0,2026-01-09,call,0.01,0.0,0.01,72.0,74,0.414068359375
GOOGL,380.0,2026-01-09,put,58.5,65.1,68.6,1.0,0,0.8635267553710937
GOOGL,385.0,2026-01-09,call,0.01,0.0,0.02,1.0,1837,0.4726615234375
GOOGL,390.0,2026-01-09,call,0.01,0.0,0.26,3.0,11,0.6132851171875001
GOOGL,395.0,2026-01-09,call,0.03,0.0,0.26,1.0,31,0.6445348046875
GOOGL,395.0,2026-01-09,put,76.79,80.1,83.3,,0,0.9443364941406249
GOOGL,400.0,2026-01-09,call,0.01,0.0,0.25,3.0,14,0.6699251757812501
GOOGL,405.0,2026-01-09,call,0.07,0.0,0.05,,4,0.585941640625
GOOGL,410.0,2026-01-09,call,0.25,0.0,0.25,,3,0.72851833984375
GOOGL,415.0,2026-01-09,call,0.04,0.0,0.25,,3,0.75586181640625
GOOGL,420.0,2026-01-09,call,0.07,0.0,0.01,100.0,101,0.57812921875
GOOGL,425.0,2026-01-09,call,0.01,0.0,0.01,,20,0.5937540625000001
GOOGL,430.0,2026-01-09,call,0.07,0.0,0.01,,21,0.6250037500000001
GOOGL,435.0,2026-01-09,call,0.04,0.0,0.01,12.0,0,0.64062859375
GOOGL,450.0,2026-01-09,call,0.04,0.0,0.01,,2,0.6875031250000001
